Id	MealEntryNumber	MealId	FoodId	Calories
220	1	114	6	120
221	2	114	12	35
239	1	121	8	100
240	2	121	7	184
241	3	121	11	40
242	1	122	13	180
243	2	122	8	100
244	3	122	10	100
245	4	122	9	230
246	1	123	11	40
247	1	124	8	100
248	2	124	11	40
249	3	124	8	100
250	4	124	6	120
251	5	124	9	230
252	1	125	11	40
253	1	126	7	184
254	2	126	14	110
255	3	126	6	120
256	1	127	8	100
257	1	128	7	184
258	2	128	8	100
259	3	128	11	120
260	4	128	13	180
261	1	129	6	150
262	2	129	9	105
263	1	130	8	100
264	1	131	10	100
265	2	131	8	100
266	3	131	9	105
267	1	132	6	128
268	2	132	12	35
269	3	132	11	40
270	1	133	7	184
271	2	133	8	100
272	1	134	6	120
273	2	134	12	35
274	1	135	8	100
275	1	136	7	184
276	2	136	8	100
277	3	136	13	180
278	4	136	11	120
279	1	137	8	100
280	2	137	6	120
281	3	137	9	105
282	4	137	8	100
283	1	138	12	35
284	2	138	10	100
285	3	138	11	40
286	1	139	7	184
287	2	139	9	105
288	3	139	8	100
289	1	140	14	110
290	2	140	6	135
291	3	140	11	40
292	1	141	11	40
293	2	141	13	180
294	3	141	7	184
295	4	141	9	105
296	1	142	8	100
297	1	143	11	40
298	2	143	6	120
299	3	143	8	100
300	1	144	9	230
301	1	145	11	40
302	1	146	10	100
303	2	146	7	184
304	3	146	8	100
305	1	147	6	135
306	2	147	14	110
307	3	147	11	40
308	1	148	8	100
309	2	148	8	100
310	3	148	11	40
311	1	149	7	184
312	2	149	8	100
313	3	149	11	120
314	4	149	13	180
315	1	150	8	100
316	2	150	9	230
317	3	150	6	120
318	1	151	10	100
319	2	151	7	184
320	1	152	8	100
321	2	152	6	120
322	3	152	14	110
323	4	152	11	40
324	5	152	8	100
1308	1	1148	11	40
1309	2	1148	8	100
1310	3	1148	9	210
1311	1	1149	7	184
1312	2	1149	11	120
1313	3	1149	8	200
1314	4	1149	13	180
1315	1	1150	8	100
1316	2	1150	6	120
1317	3	1150	9	105
1318	4	1150	7	184
1319	1	1151	11	40
1320	2	1151	10	100
1321	1	1152	6	120
1322	2	1152	14	110
1323	3	1152	8	100
1324	1	1153	8	100
1325	1	1154	7	184
1326	2	1154	11	40
1327	3	1154	8	100
1328	4	1154	13	180
1329	1	1155	6	110
1330	2	1155	9	210
1331	3	1155	8	100
1332	4	1155	11	40
1333	1	1156	10	100
1334	2	1156	12	35
1335	3	1156	8	100
1336	4	1156	9	230
1337	1	1157	6	150
1338	2	1157	14	110
1339	1	1158	7	184
1340	2	1158	9	230
1341	1	1159	8	100
1342	2	1159	9	105
1343	3	1159	11	40
1344	1	1160	7	184
1345	2	1160	11	40
1346	1	1161	8	100
1347	2	1161	9	105
1348	3	1161	13	180
1349	1	1162	8	100
1350	2	1162	11	40
1351	1	1163	10	100
1352	2	1163	8	100
1353	3	1163	11	40
1354	1	1166	6	135
1355	2	1166	9	230
1356	3	1166	7	184
1357	1	1167	6	120
1358	2	1167	14	110
1359	3	1167	8	200
1360	1	1168	8	200
1361	2	1168	9	105
1362	3	1168	11	40
1363	1	1169	7	184
1364	2	1169	8	100
1365	3	1169	11	120
1366	4	1169	13	180
1367	1	1170	6	150
1368	2	1170	9	210
1369	3	1170	7	184
1370	4	1170	8	100
1371	1	1171	11	40
1372	1	1172	10	100
1373	2	1172	8	100
1374	1	1173	6	120
1375	2	1173	14	110
1376	3	1173	8	100
1377	1	1174	8	200
1378	2	1174	11	40
1379	1	1175	7	184
1380	2	1175	8	100
1381	3	1175	11	120
1382	4	1175	13	180
1383	1	1176	6	120
1384	2	1176	9	105
1385	1	1177	8	100
1386	2	1177	10	45
1387	3	1177	7	184
1388	4	1177	9	105
1389	1	1178	11	40
1390	2	1178	8	100
1391	1	1179	6	120
1392	2	1179	14	110
1393	1	1180	7	184
1394	2	1180	9	210
1395	1	1181	8	100
1396	2	1181	11	40
1397	1	1182	8	100
1401	1	1184	7	184
1402	2	1184	8	100
1403	3	1184	11	40
1404	4	1184	13	180
1405	1	1185	8	100
1406	2	1185	9	210
1407	1	1186	11	40
1408	2	1186	6	120
1409	1	1187	11	40
1410	1	1188	7	210
1411	2	1188	9	210
1412	1	1189	14	110
1413	2	1189	11	40
1414	3	1189	6	170
1415	1	1190	6	120
1416	2	1190	8	100
1417	1	1191	8	100
1418	2	1191	11	40
1419	1	1192	7	184
1420	2	1192	8	100
1421	3	1192	11	120
1422	4	1192	13	180
1423	1	1193	6	350
1424	1	1194	8	100
1425	2	1194	6	120
1426	3	1194	9	220
1427	1	1195	7	184
1428	2	1195	11	40
1429	1	1196	8	100
1430	2	1196	6	120
1431	3	1196	14	110
1432	1	1197	6	120
1433	2	1197	11	40
1434	1	1198	8	100
1435	1	1199	7	184
1436	2	1199	8	100
1437	3	1199	11	120
1438	4	1199	13	180
1439	1	1200	8	100
1440	2	1200	9	210
1441	3	1200	6	120
1442	4	1200	7	184
1443	5	1200	12	35
1444	1	1201	11	40
1445	2	1201	9	230
1446	3	1201	10	100
1447	1	1202	14	110
1448	2	1202	6	120
1449	3	1202	8	100
1450	1	1203	7	184
1451	1	1204	8	200
1452	2	1204	11	40
1453	1	1205	7	184
1454	2	1205	8	100
1455	1	1206	11	40
1456	2	1206	13	180
1457	1	1207	6	120
1458	2	1207	9	210
1459	3	1207	11	40
1460	1	1208	8	100
1461	1	1209	7	184
1462	2	1209	7	184
1463	3	1209	9	230
1464	1	1210	8	100
1465	2	1210	14	110
1466	3	1210	6	120
1467	4	1210	11	40
1468	1	1211	8	100
1469	2	1211	11	80
1470	1	1212	7	184
1471	2	1212	8	100
1472	3	1212	11	40
1473	1	1213	10	100
1474	2	1213	8	100
1475	3	1213	11	40
1476	1	1214	13	180
1477	2	1214	6	120
1478	3	1214	8	100
1479	1	1215	11	40
1480	2	1215	7	184
1481	3	1215	9	230
1482	4	1215	11	40
1483	5	1215	8	100
1484	1	1216	13	180
1485	2	1216	6	150
1486	1	1217	11	40
1487	2	1217	8	100
1488	1	1218	9	210
1489	2	1218	8	100
1498	1	1222	7	184
1499	2	1222	13	180
1500	3	1222	8	100
1501	4	1222	11	120
1502	1	1223	10	100
1503	2	1223	9	105
1504	1	1224	8	100
1505	2	1224	7	184
1506	3	1224	9	210
1507	4	1224	8	100
1508	5	1224	11	40
1509	1	1225	6	120
1510	1	1226	8	100
1511	2	1226	6	140
1512	3	1226	14	110
1513	4	1226	7	184
1514	5	1226	9	230
2329	1	2155	8	200
2330	2	2155	11	40
2331	1	2156	11	40
2332	2	2156	7	184
2333	3	2156	8	100
2334	4	2156	13	180
2335	1	2157	11	40
2336	2	2157	9	105
2337	3	2157	6	120
2338	4	2157	8	100
2339	1	2158	7	184
2340	2	2158	11	40
2341	1	2159	11	40
2342	2	2159	8	100
2343	3	2159	11	40
2344	1	2162	10	100
2345	2	2162	9	210
2346	3	2162	11	40
3335	1	3157	6	120
3336	2	3157	14	110
3337	3	3157	8	100
3338	4	3157	12	35
3339	5	3157	11	40
3340	1	3158	8	100
3347	1	3161	7	184
3348	2	3161	8	100
3349	3	3161	11	80
3350	4	3161	8	200
3351	5	3161	13	180
3352	1	3162	6	90
3353	2	3162	9	210
3354	3	3162	8	100
3355	1	3163	7	184
3356	2	3163	9	230
3357	1	3164	6	100
3358	2	3164	14	60
3359	3	3164	11	40
3360	1	3166	8	100
3361	2	3166	7	184
3362	3	3166	8	100
3363	4	3166	9	210
3364	1	3167	8	100
3375	1	3172	13	180
3376	2	3172	11	40
3377	3	3172	8	100
3378	1	3173	7	184
3379	2	3173	9	210
3380	3	3173	8	100
3381	1	3174	6	145
3382	2	3174	8	100
3383	1	3175	11	40
3384	2	3175	10	100
3385	3	3175	9	230
3386	1	3176	8	100
3387	2	3176	6	120
3388	3	3176	14	110
3389	1	3177	11	40
3390	2	3177	8	100
3391	1	3178	7	184
3392	2	3178	8	100
3393	3	3178	8	100
3394	4	3178	13	180
3395	5	3178	11	80
3396	1	3179	10	100
3397	2	3179	9	210
3398	1	3180	8	100
3399	2	3180	6	120
3400	3	3180	11	40
3401	1	3181	7	184
3402	2	3181	9	230
3403	3	3181	11	40
3404	1	3182	8	100
3405	2	3182	6	120
3406	3	3182	14	110
3407	4	3182	7	184
3408	5	3182	11	40
3409	6	3182	8	100
3410	1	3183	7	184
3411	2	3183	8	100
3412	3	3183	11	80
3413	4	3183	13	180
3414	1	3184	8	100
3415	2	3184	10	100
3416	3	3184	9	210
3417	1	3185	11	40
3418	2	3185	8	100
3419	3	3185	7	184
3420	4	3185	12	35
3421	5	3185	11	40
3422	1	3186	8	100
3423	2	3186	14	110
3424	3	3186	6	120
3425	4	3186	12	35
3426	1	3187	11	40
3427	2	3187	8	100
3428	1	3188	11	40
3429	2	3188	13	180
3430	3	3188	8	100
3431	4	3188	7	184
3432	1	3189	11	40
3433	2	3189	10	100
3434	3	3189	9	210
3435	1	3190	8	100
3436	2	3190	11	40
3437	3	3190	6	120
3438	4	3190	9	230
3439	1	3191	8	100
3440	1	3192	11	40
3441	2	3192	14	110
3442	3	3192	6	120
3443	1	3193	7	184
3444	2	3193	9	230
3445	3	3193	8	100
3446	4	3193	11	40
3447	1	3195	8	100
3448	1	3196	7	184
3449	2	3196	8	100
3450	3	3196	13	180
3451	4	3196	11	80
3452	1	3197	8	100
3453	2	3197	10	100
3454	3	3197	9	210
3455	4	3197	11	40
3456	1	3198	8	100
3457	2	3198	9	230
3458	3	3198	7	184
3459	4	3198	11	40
3460	1	3199	6	120
3461	2	3199	8	100
3462	3	3199	11	40
3463	1	3200	6	120
3464	2	3200	14	110
4414	1	4184	11	40
4415	2	4184	8	100
4416	1	4185	7	184
4417	2	4185	8	100
4418	3	4185	11	120
4419	4	4185	13	180
4420	5	4185	8	100
4421	1	4186	8	100
4422	2	4186	6	120
4423	3	4186	9	230
4424	1	4187	11	40
4425	1	4188	7	184
4426	2	4188	8	100
4427	3	4188	10	100
4428	4	4188	14	110
4429	5	4188	9	210
4430	1	4189	8	100
4431	2	4189	7	184
4432	1	4190	8	100
4433	2	4190	11	40
4434	1	4191	8	100
4435	2	4191	11	40
4436	3	4191	7	184
4437	4	4191	13	180
4438	5	4191	8	100
4439	6	4191	9	210
4440	7	4191	11	40
4441	1	4192	11	40
4442	2	4192	8	100
4443	3	4192	6	120
4444	4	4192	11	40
4445	5	4192	8	100
4446	6	4192	7	184
4447	7	4192	9	230
4448	1	4193	6	120
4449	2	4193	14	110
4450	3	4193	8	100
4451	4	4193	8	100
4452	5	4193	11	40
4453	1	4194	8	100
4454	2	4194	11	40
4455	3	4194	13	180
4456	1	4195	7	184
4457	2	4195	9	210
4458	3	4195	8	100
4459	1	4196	11	40
4460	2	4196	8	100
4461	3	4196	10	80
4462	4	4196	11	40
4463	5	4196	8	100
4464	6	4196	6	120
4465	7	4196	9	230
4466	1	4197	12	35
4467	2	4197	7	184
4468	3	4197	11	40
4469	1	4199	14	110
4470	2	4199	6	120
4471	3	4199	8	100
4472	4	4199	8	100
4501	1	4210	23	80
4502	2	4210	11	80
4503	1	4211	12	35
4504	2	4211	7	250
4505	3	4211	17	260
4506	4	4211	9	215
4507	1	4212	11	80
4508	2	4212	13	180
4509	3	4212	17	260
4510	4	4212	6	120
4511	5	4212	14	50
4512	6	4212	20	150
4513	1	4213	18	150
4514	2	4213	19	100
4515	3	4213	22	360
4516	4	4213	11	40
4517	1	4214	20	150
4518	2	4214	19	100
4519	3	4214	8	100
4520	4	4214	11	40
4521	5	4214	18	150
4522	1	4215	11	80
4523	2	4215	13	50
4524	3	4215	23	80
4525	4	4215	17	130
4526	5	4215	8	100
4527	6	4215	6	120
4528	7	4215	21	100
4529	1	4216	9	210
4530	2	4216	11	40
4531	3	4216	7	200
4532	4	4216	18	150
4533	5	4216	19	100
4534	1	4217	23	40
4535	2	4217	6	135
4536	3	4217	17	260
4537	4	4217	19	100
4538	1	4218	12	35
4539	2	4218	21	140
4540	3	4218	23	80
4541	4	4218	8	60
4542	1	4219	13	90
4543	1	4220	18	150
4544	2	4220	11	40
4545	3	4220	19	100
4546	1	4221	17	130
4547	2	4221	8	100
4548	3	4221	23	20
4549	1	4222	11	80
4550	2	4222	23	80
4551	3	4222	12	35
4552	4	4222	7	200
4553	5	4222	9	210
4554	1	4223	8	100
4555	2	4223	13	90
4556	3	4223	14	110
4557	4	4223	6	155
4558	1	4224	19	100
4559	2	4224	18	140
4560	1	4225	11	40
4561	2	4225	23	40
4562	3	4225	13	90
4563	1	4226	8	100
4564	2	4226	11	40
4565	3	4226	23	40
4566	4	4226	13	90
4567	1	4227	19	100
4568	1	4228	21	140
4569	2	4228	11	40
4570	1	4229	17	130
4571	2	4229	21	100
4572	1	4230	11	80
4573	2	4230	23	80
4574	3	4230	6	150
4575	4	4230	17	130
4576	5	4230	21	100
4577	6	4230	13	90
4578	7	4230	8	100
4579	1	4231	12	35
4580	2	4231	7	200
4581	3	4231	9	210
4582	1	4232	21	140
4583	1	4233	11	80
4584	2	4233	17	260
4585	3	4233	13	90
4586	4	4233	6	160
4587	5	4233	14	80
4588	6	4233	21	100
4589	1	4234	19	100
4590	2	4234	21	140
4591	1	4235	11	40
4592	1	4236	11	40
4593	2	4236	8	100
4594	1	4237	13	180
4595	2	4237	11	80
4596	3	4237	23	80
4597	4	4237	17	130
4598	5	4237	21	100
4599	6	4237	8	100
4600	1	4238	12	35
4601	2	4238	7	184
4602	3	4238	9	230
4603	1	4239	11	40
4604	2	4239	21	140
4605	1	4240	19	160
4606	2	4240	18	150
4607	1	4241	17	130
4608	2	4241	11	40
4609	3	4241	6	155
4610	4	4241	20	150
4611	5	4241	19	100
4612	1	4242	18	150
4613	2	4242	21	140
4614	3	4242	8	100
4615	1	4243	19	100
4616	1	4244	8	100
4617	2	4244	11	40
4618	1	4245	11	80
4619	2	4245	7	200
4620	3	4245	9	210
4621	4	4245	17	130
4622	5	4245	19	160
4623	1	4246	11	40
4624	2	4246	18	150
4625	3	4246	19	100
4626	4	4246	8	100
4627	1	4247	21	140
4628	2	4247	13	180
4629	3	4247	11	40
4630	1	4248	6	135
4631	2	4248	14	77
4632	3	4248	17	153
4633	4	4248	20	150
4634	1	4249	11	40
4635	2	4249	8	100
4636	3	4249	18	150
4637	4	4249	19	260
4638	1	4250	11	40
4639	2	4250	8	100
4640	3	4250	17	130
4641	1	4251	11	80
4642	2	4251	17	130
4643	3	4251	9	210
4644	4	4251	7	200
4645	5	4251	19	160
4646	1	4252	18	150
4647	2	4252	19	100
4648	3	4252	21	140
4649	1	4253	11	40
4650	2	4253	13	180
4651	3	4253	17	130
4652	4	4253	11	40
4653	5	4253	19	100
4654	1	4254	6	164
4655	2	4254	8	100
4656	3	4254	19	110
4657	1	4255	20	150
4658	2	4255	21	140
4659	3	4255	23	80
4660	4	4255	11	40
4661	5	4255	18	150
4662	1	4256	11	40
4663	2	4256	17	130
4664	1	4257	18	150
4665	2	4257	19	100
4666	1	4258	13	90
4667	2	4258	11	40
4668	1	4259	11	80
4669	2	4259	23	80
4670	3	4259	6	105
4671	4	4259	13	90
4672	5	4259	21	100
4673	6	4259	8	100
4674	1	4260	17	177
4675	2	4260	19	100
4676	3	4260	7	200
4677	4	4260	9	210
4678	1	4261	23	80
4679	2	4261	21	140
4680	3	4261	6	132
4681	4	4261	14	91
4682	1	4262	11	40
4683	1	4263	18	140
4684	2	4263	8	100
4685	3	4263	19	100
4686	1	4264	11	40
4687	2	4264	17	126
4688	3	4264	13	90
4689	1	4265	18	150
4690	2	4265	11	40
4691	1	4266	8	100
4692	1	4267	17	130
4693	2	4267	13	90
4694	3	4267	11	80
4695	4	4267	23	80
4696	5	4267	6	128
4697	6	4267	21	100
4698	7	4267	8	100
4699	1	4268	18	172
4700	2	4268	11	40
4701	1	4269	9	210
4702	2	4269	7	200
4703	1	4270	21	140
4704	2	4270	13	90
4705	3	4270	19	100
4706	1	4271	6	120
4707	2	4271	12	35
4708	3	4271	14	68
4709	1	4272	11	40
4710	1	4273	20	150
4711	1	4274	11	40
4712	1	4275	11	40
4713	1	4276	23	80
4714	1	4277	18	150
4715	2	4277	17	130
4716	3	4277	11	40
4717	1	4278	7	200
4718	2	4278	9	210
4719	1	4279	19	100
4720	2	4279	21	140
4721	3	4279	8	100
4722	4	4279	23	80
4723	1	4280	6	95
4724	2	4280	12	35
4725	3	4280	14	57
4726	4	4280	17	144
4727	5	4280	19	100
4728	6	4280	18	150
4729	7	4280	11	40
4730	1	4281	24	97
4731	2	4281	8	67
4732	1	4282	11	40
4733	2	4282	18	150
4734	1	4283	11	80
4735	2	4283	23	80
4736	3	4283	17	130
4737	4	4283	13	180
4738	5	4283	8	100
4739	6	4283	24	100
4740	1	4284	12	35
4741	2	4284	7	200
4742	3	4284	9	210
4743	4	4284	17	130
4744	5	4284	19	100
4745	1	4285	11	40
4746	2	4285	9	530
4747	1	4286	8	100
4748	2	4286	17	154
4749	1	4287	11	40
4750	2	4287	8	100
4751	3	4287	21	140
4752	1	4288	11	40
4753	2	4288	23	80
4754	3	4288	17	214
4755	4	4288	8	100
4756	5	4288	21	140
4757	6	4288	7	200
4758	7	4288	9	210
4759	1	4289	18	167
4760	2	4289	11	40
4761	3	4289	19	100
4762	4	4289	6	150
4763	1	4290	17	130
4764	2	4290	25	160
4765	3	4290	21	140
4766	4	4290	11	40
4767	5	4290	19	100
4768	1	4291	8	100
4769	1	4292	11	40
4770	2	4292	18	167
4771	3	4292	20	150
4772	1	4293	17	214
4773	1	4294	13	90
4774	1	4295	11	80
4775	2	4295	6	128
4776	3	4295	17	130
4777	4	4295	8	100
4778	5	4295	24	100
4779	6	4295	13	90
4780	1	4296	11	40
4781	2	4296	18	231
4782	1	4297	7	200
4783	2	4297	9	210
4784	3	4297	25	160
4785	4	4297	17	200
4786	1	4298	6	105
4787	2	4298	14	43
4788	3	4298	11	40
4789	4	4298	19	100
4790	1	4299	8	100
4791	1	4300	17	135
4792	2	4300	11	40
4793	3	4300	13	90
4794	1	4301	19	100
4795	2	4301	21	140
4796	1	4302	11	80
4797	2	4302	6	120
4798	3	4302	13	90
4799	4	4302	17	130
4800	5	4302	24	36
4801	6	4302	8	100
4802	1	4303	18	236
4803	2	4303	11	40
4804	3	4303	25	160
4805	4	4303	11	40
4810	1	4306	7	200
4811	2	4306	9	210
4812	1	4307	6	138
4813	2	4307	12	35
4814	3	4307	19	100
4815	4	4307	8	100
4816	1	4308	17	154
4817	2	4308	11	40
4818	3	4308	20	150
4819	1	4309	18	150
4820	2	4309	13	90
4821	3	4309	11	40
4822	4	4309	19	100
4827	1	4311	11	40
4828	2	4311	23	80
4829	1	4312	18	247
4830	2	4312	11	40
4831	3	4312	9	210
4832	4	4312	7	200
4833	5	4312	11	40
4834	1	4313	12	35
4835	2	4313	6	180
4836	3	4313	14	77
4837	1	4314	25	163
4838	2	4314	18	204
4839	3	4314	19	100
4840	4	4314	11	40
4841	1	4315	8	100
4842	2	4315	21	140
4843	3	4315	17	130
4844	1	4316	11	80
4845	2	4316	23	80
4846	3	4316	13	90
4847	4	4316	17	191
4848	5	4316	18	177
4849	6	4316	7	200
4850	7	4316	9	210
4851	1	4317	11	40
4852	2	4317	25	160
4853	3	4317	8	100
4854	4	4317	6	180
4855	5	4317	19	100
4856	1	4318	17	135
4857	2	4318	12	35
4858	3	4318	11	40
4859	4	4318	8	100
4860	1	4319	18	150
4861	1	4320	19	100
4862	2	4320	11	40
4863	1	4321	21	140
4864	2	4321	11	40
4865	1	4322	17	130
4866	2	4322	13	90
4867	1	4323	23	80
4868	2	4323	25	165
4869	1	4324	11	80
4870	2	4324	23	80
4871	1	4325	25	83
4872	2	4325	17	196
4873	3	4325	7	200
4874	4	4325	9	210
4875	5	4325	20	150
4876	1	4328	18	150
4877	1	4329	11	40
4878	2	4329	6	144
4879	3	4329	14	92
4880	4	4329	8	100
4881	5	4329	19	100
4882	6	4329	23	80
4883	1	4330	11	40
4884	2	4330	18	172
4885	3	4330	13	90
4886	1	4331	8	100
4887	2	4331	17	130
4888	1	4332	20	150
4897	1	4335	11	80
4898	2	4335	23	80
4899	1	4336	12	35
4900	2	4336	8	100
4901	3	4336	17	186
4902	4	4336	7	200
4903	5	4336	9	210
4904	1	4337	19	100
4905	2	4337	6	150
4906	3	4337	14	83
4907	4	4337	18	156
4908	5	4337	25	166
4909	1	4338	11	40
4910	2	4338	21	140
4911	3	4338	8	100
4912	4	4338	19	100
4913	1	4339	17	130
4914	1	4340	11	40
4915	2	4340	25	160
4916	3	4340	22	180
4917	1	4341	8	100
4918	2	4341	11	40
4919	1	4342	11	80
4920	2	4342	23	80
4921	3	4342	13	180
4922	4	4342	7	200
4923	5	4342	9	210
4924	6	4342	12	35
4925	1	4343	19	100
4926	2	4343	18	156
4927	3	4343	21	140
4928	4	4343	11	40
4929	1	4344	6	164
4930	2	4344	14	28
4931	3	4344	25	164
4932	4	4344	11	40
4933	5	4344	17	135
4934	6	4344	19	100
4935	7	4344	22	180
4936	8	4344	21	70
4937	1	4345	19	100
4938	2	4345	18	150
4939	3	4345	8	100
4940	1	4346	17	130
4941	2	4346	11	40
4942	1	4347	11	80
4943	2	4347	23	80
4944	1	4348	17	186
4945	2	4348	18	215
4946	3	4348	13	180
4947	1	4349	19	100
4948	2	4349	7	200
4949	3	4349	9	210
4950	1	4352	25	163
4951	2	4352	11	40
4952	3	4352	18	193
4953	4	4352	8	100
4954	5	4352	6	174
4955	6	4352	19	100
4956	1	4353	17	177
4957	2	4353	23	80
4958	1	4354	11	40
4959	2	4354	20	150
4960	3	4354	21	140
4963	1	4356	11	80
4964	2	4356	23	80
4965	3	4356	18	183
4966	4	4356	17	154
4967	5	4356	25	166
4968	6	4356	8	100
4969	7	4356	7	200
4970	8	4356	9	210
4971	1	4357	19	100
4972	2	4357	11	40
4973	3	4357	14	70
4974	4	4357	6	152
4975	1	4358	22	180
4976	2	4358	21	70
4977	3	4358	17	144
4978	4	4358	19	100
4979	1	4359	11	40
4980	2	4359	8	100
4981	1	4360	18	134
4982	2	4360	23	80
4983	3	4360	13	90
4984	1	4361	11	80
4985	2	4361	23	80
4986	3	4361	17	200
4987	4	4361	7	200
4988	5	4361	9	210
4989	1	4362	21	70
4990	2	4362	19	100
4991	1	4363	6	180
4992	2	4363	14	93
4993	3	4363	18	193
4994	4	4363	11	40
4995	5	4363	22	360
4996	6	4363	25	163
4997	1	4364	11	40
4998	2	4364	19	100
4999	3	4364	17	130
5000	4	4364	21	140
5001	5	4364	11	40
5002	1	4365	18	225
5003	2	4365	11	80
5004	3	4365	23	80
5005	4	4365	13	90
5006	5	4365	11	40
5007	1	4366	19	100
5008	2	4366	7	200
5009	3	4366	9	210
5010	4	4366	17	177
5011	5	4366	6	141
5012	6	4366	25	166
5013	1	4367	11	40
5014	2	4367	21	140
5015	3	4367	8	100
5016	4	4367	12	35
5017	5	4367	13	90
5018	1	4368	19	100
5019	2	4368	11	40
5020	3	4368	17	130
5021	1	4369	11	80
5022	2	4369	23	80
5023	3	4369	13	90
5024	1	4370	17	182
5025	2	4370	11	40
5026	3	4370	18	204
5027	4	4370	6	164
5028	5	4370	19	100
5029	1	4371	21	70
5030	2	4371	22	180
5031	3	4371	8	100
5032	4	4371	25	166
5033	5	4371	13	90
5034	6	4371	11	40
5035	1	4372	19	100
5036	2	4372	17	144
5037	3	4372	11	40
5038	4	4372	23	80
5039	5	4372	21	70
5040	1	4373	11	120
5041	1	4374	23	80
5042	2	4374	17	205
5043	3	4374	18	204
5044	4	4374	7	200
5045	5	4374	9	210
5046	1	4375	19	100
5047	2	4375	8	100
5048	3	4375	6	146
5049	4	4375	14	85
5050	5	4375	17	140
5051	6	4375	25	168
5052	1	4376	11	40
5053	2	4376	21	140
5054	3	4376	19	100
5055	4	4376	18	150
5056	1	4377	11	80
5057	2	4377	23	80
5058	3	4377	13	90
5059	1	4378	17	205
5060	2	4378	8	100
5061	3	4378	7	200
5062	4	4378	9	210
5063	5	4378	19	100
5064	6	4378	21	140
5065	7	4378	12	35
5066	8	4378	11	80
5067	1	4379	11	40
5068	2	4379	6	146
5069	3	4379	14	79
5070	4	4379	19	100
5071	5	4379	18	236
5072	6	4379	25	163
5073	1	4380	17	242
5074	2	4380	19	100
5075	1	4381	11	80
5076	2	4381	23	80
5077	3	4381	13	90
5078	1	4382	17	214
5079	2	4382	25	162
5080	3	4382	21	140
5081	4	4382	19	100
5082	1	4383	7	200
5083	2	4383	9	210
5084	3	4383	18	199
5085	4	4383	11	40
5086	5	4383	13	90
5087	6	4383	8	100
5088	1	4384	6	167
5089	2	4384	19	100
5090	3	4384	17	135
5091	4	4384	25	163
5092	1	4385	23	80
5093	2	4385	18	145
5094	3	4385	19	100
5095	4	4385	11	40
5096	5	4385	13	90
5103	1	4388	11	80
5104	2	4388	23	80
